time_s,vout_v,follower_id_a
0.0799037,-0.6096668371,5.453785755e-12
0.07990375,-0.6096653794,5.883209309e-12
0.0799038,-0.6096639218,6.312632863e-12
0.07990385,-0.609662303,7.090104461e-12
0.0799039,-0.6096606054,8.0377757e-12
0.07990395,-0.6096589078,8.98544694e-12
0.079904,-0.6096572103,9.933118179e-12
0.07990405,-0.6096554376,1.234141652e-11
0.0799041,-0.6096536281,1.546397891e-11
0.07990415,-0.6096518186,1.858654131e-11
0.0799042,-0.6096500091,2.17091037e-11
0.07990425,-0.6096472929,3.16367722e-11
0.0799043,-0.6096441331,4.489221868e-11
0.07990435,-0.6096386186,9.707306806e-11
0.0799044,-0.6096294418,3.121837406e-10
0.07990445,-0.6096062358,2.490055722e-09
0.0799045,-0.6095398603,1.611765113e-08
0.07990455,-0.6087832642,2.106075744e-07
0.0799046,-0.6013122136,2.010468167e-06
0.07990465,-0.5801909674,6.630730042e-06
0.0799047,-0.5474574527,1.360696493e-05
0.07990475,-0.5041651788,2.208035865e-05
0.0799048,-0.4559193954,3.125612566e-05
0.07990485,-0.4040996428,4.128875871e-05
0.0799049,-0.3515634025,5.149317104e-05
0.07990495,-0.2984379737,6.166967012e-05
0.079905,-0.2446367637,7.181415356e-05
0.07990505,-0.1908355538,8.1958637e-05
0.0799051,-0.1391056662,9.185922498e-05
0.07990515,-0.08752734458,0.0001017419663
0.0799052,-0.03594902293,0.0001116247076
0.07990525,0.01562929872,0.0001215074489
0.0799053,0.06290764362,0.0001304163722
0.07990535,0.1098713441,0.0001392540378
0.0799054,0.1568350446,0.0001480917035
0.07990545,0.2037987451,0.0001569293691
0.0799055,0.2449196076,0.0001647733485
0.07990555,0.2856129291,0.0001725446164
0.0799056,0.3263062506,0.0001803158843
0.07990565,0.3669995721,0.0001880871522
0.0799057,0.401634317,0.0001946000165
0.07990575,0.4358257345,0.0002010207989
0.0799058,0.4700171521,0.0002074415814
0.07990585,0.5042085697,0.0002138623638
0.0799059,0.5322756404,0.0002192045896
0.07990595,0.5598945711,0.0002244678936
0.079906,0.5875135018,0.0002297311976
0.07990605,0.6151324325,0.0002349945016
0.0799061,0.6373413592,0.0002391211709
0.07990615,0.6591544169,0.0002431646687
0.0799062,0.6809674745,0.0002472081665
0.07990625,0.7027805322,0.0002512516643
0.0799063,0.7197061191,0.0002544812851
0.07990635,0.7362740726,0.0002576513516
0.0799064,0.7528420261,0.0002608214182
0.07990645,0.7694099796,0.0002639914848
0.0799065,0.7820748498,0.0002663192112
0.07990655,0.7944541177,0.0002685853006
0.0799066,0.8068333856,0.00027085139
0.07990665,0.8192126535,0.0002731174794
0.0799067,0.8282020683,0.0002748442456
0.07990675,0.8369434357,0.0002765315476
0.0799068,0.845684803,0.0002782188496
0.07990685,0.8544261704,0.0002799061516
0.0799069,0.8606158382,0.000281016768
0.07990695,0.8666187893,0.0002820851863
0.079907,0.8726217403,0.0002831536046
0.07990705,0.8786246914,0.0002842220229
